Name,URL,Rating,RatingVotes,Developer,ReleaseDate,LastUpdated,Technology,Platforms,Classification,WikiPages,Iframe,Description,Features,Controls,FAQ,GameplayVideo,HoverVideo,ThumbnailURL
Stickman Clash,https://www.crazygames.com/game/stickman-clash,8.8,"29,805",N/A,December 2024,January 2025,HTML5 (Unity WebGL),"Browser (desktop, mobile, tablet), App Store(Android)",Games » Action » Battle,N/A,https://games.crazygames.com/en_US/stickman-clash/index.html?v=1.317,"Stickman Clash is a thrilling action battle game where you battle as stickman warriors armed with an array of exciting weapons. Engage in fast-paced combat, outsmart opponents, and showcase your skills in dynamic arenas. The game's captivating action and challenging mechanics keep you hooked as you strive to become the ultimate stickman champion!",N/A,"Hold D = forward
Hold A = backward
Hold S = shield
Hold W = jump","Q: What is that stickman game called?
A: There are many Stickman games available online. One popular game is Stickman Clash, which is an action-packed game where you fight as stickman warriors with cool weapons in fast-paced combat to become the champion.

Q: Is stickman game for kids?
A: Stickman games are generally kid-friendly.",https://www.youtube-nocookie.com/embed/hqdefault.webp,https://videos.crazygames.com/stickman-clash/1/stickman-clash-landscape-611x343_30fps.mp4,https://imgs.crazygames.com/stickman-clash_16x9/20250115040326/stickman-clash_16x9-cover?auto=format%2Ccompress&q=90&cs=strip&w=273&fit=crop
CyberDino 3D,https://www.crazygames.com/game/cyberdino-3d-nez,9.0,"4,254",dennatolich,January 2025,January 2025,HTML5 (Unity WebGL),N/A,Games » Action » Cute » Animal » Dinosaur,N/A,https://games.crazygames.com/en_US/cyberdino-3d-nez/index.html?v=1.317,"CyberDino 3D is an action-packed game where you control a futuristic cyber dinosaur in epic battles. Face off against waves of robots and monsters, enhance your equipment, and evolve your skills to dominate the battlefield. Embrace the challenge and prove you have what it takes to become the ultimate CyberDino champion.",N/A,N/A,N/A,N/A,https://videos.crazygames.com/cyberdino-3d-nez/1/cyberdino-3d-nez-landscape-611x343_30fps.mp4,https://imgs.crazygames.com/cyberdino-3d-nez_16x9/20250109045056/cyberdino-3d-nez_16x9-cover?auto=format%2Ccompress&q=90&cs=strip&w=273&fit=crop
Chef Slide,https://www.crazygames.com/game/chef-slide,8.3,513,N/A,December 2024,December 2024,HTML5 (Unity WebGL),"Browser (desktop, mobile, tablet), App Store(Android)",Games » Puzzle » Logic,N/A,https://games.crazygames.com/en_US/chef-slide/index.html?v=1.317,"Chef Slide is an engaging puzzle game in which you prepare dishes for customers by sliding a plate across a chaotic kitchen. After a mishap among the chefs, all the ingredients are scattered, and it’s up to you to collect them in the correct order to complete each recipe. Step into the bustling kitchen and test your puzzle-solving skills in this chaotic culinary adventure!",N/A,"Sliding Mechanics: Move the plate in one of four directions until it hits a wall, picking up ingredients along the way.
Strategic Planning: Plan your moves carefully to gather ingredients in the proper sequence for each dish.
Challenging Levels: Tackle increasingly complex puzzles as you progress, with more ingredients and obstacles.
Time Pressure: Customers are waiting, so efficiency and precision are key to success.",N/A,N/A,https://videos.crazygames.com/chef-slide/1/chef-slide-landscape-611x343_30fps.mp4,https://imgs.crazygames.com/chef-slide_16x9/20241220100540/chef-slide_16x9-cover?auto=format%2Ccompress&q=90&cs=strip&w=273&fit=crop
Stickman Bow,https://www.crazygames.com/game/stickman-bow,8.8,"1,629",Euclides,January 2025,January 2025,HTML5 (Unity WebGL),N/A,Games » Casual » Shooting » Archery,N/A,https://games.crazygames.com/en_US/stickman-bow/index.html?v=1.317,Stickman Bow is a fun and straightforward archery game where you guide a stickman with a bow and arrow to hit targets across challenging levels.,N/A,"Engaging Levels: Progress through 46 levels filled with various obstacles and increasing difficulty.
Dynamic Visuals: Enjoy a new color theme every 10 levels, keeping the gameplay visually fresh.
Unlockable Skins: Earn skins as you progress to customize your stickman and add a personal touch.
Challenging Yet Simple: The game balances simplicity with just the right amount of difficulty to keep you hooked.",N/A,N/A,https://videos.crazygames.com/stickman-bow/1/stickman-bow-landscape-611x343_30fps.mp4,https://imgs.crazygames.com/stickman-bow_16x9/20250115082104/stickman-bow_16x9-cover?auto=format%2Ccompress&q=90&cs=strip&w=273&fit=crop
Fruit Merge: Juicy Drop Game,https://www.crazygames.com/game/fruit-merge-juicy-drop-game-nyf,8.9,"2,106",Dzung Vu,January 2025,N/A,HTML5 (Unity WebGL),"Browser (desktop, mobile, tablet), App Store(iOS, Android)",Games » Puzzle » Casual » Merge,N/A,https://games.crazygames.com/en_US/fruit-merge-juicy-drop-game-nyf/index.html?v=1.317,"Fruit Merge: Juicy Drop Game is a vibrant fruit-matching puzzle that challenges your strategic skills. Combine identical fruits to create larger ones, but beware—space is limited! With every merge, unlock exciting new fruits and keep the container from overflowing. Test your wit and enjoy a colorful journey of clever moves and thrilling transformations!",N/A,N/A,N/A,N/A,https://videos.crazygames.com/fruit-merge-juicy-drop-game-nyf/1/fruit-merge-juicy-drop-game-nyf-landscape-611x343_30fps.mp4,https://imgs.crazygames.com/fruit-merge-juicy-drop-game-nyf_16x9/20250108085620/fruit-merge-juicy-drop-game-nyf_16x9-cover?auto=format%2Ccompress&q=90&cs=strip&w=273&fit=crop
Euro Truck Driving Simulator 2025,https://www.crazygames.com/game/euro-truck-driving-simulator-2025,8.6,"3,634",OziTech,January 2025,N/A,HTML5 (Unity WebGL),"Browser (desktop-only), App Store(Android)",Games » Driving » Parking,N/A,https://games.crazygames.com/en_US/euro-truck-driving-simulator-2025/index.html?v=1.317,"Euro Truck Driving Simulator 2025 is a thrilling game where you take on the role of a skilled truck driver managing challenging transport missions. Haul heavy cargo, fuel tankers, and machinery through rugged terrain, mountain roads, and bustling cities. Navigate sharp turns and tough routes as you handle logistics with precision and master the art of trucking.",N/A,"WASD to drive the truck
Press H for Horn
Press P to Pause the game
Press C to change the Camera angle
Press R to reset the truck's position (useful if stuck)",N/A,N/A,https://videos.crazygames.com/euro-truck-driving-simulator-2025/1/euro-truck-driving-simulator-2025-landscape-611x343_30fps.mp4,https://imgs.crazygames.com/euro-truck-driving-simulator-2025_16x9/20250107093845/euro-truck-driving-simulator-2025_16x9-cover?auto=format%2Ccompress&q=90&cs=strip&w=273&fit=crop
Paper Princess - Doll Dress Up,https://www.crazygames.com/game/paper-princess---doll-dress-up,8.5,"1,118",Dzung Vu,January 2025,N/A,HTML5 (Unity WebGL),"Browser (desktop, mobile, tablet), App Store(iOS, Android)",Games » Beauty » Dress Up,N/A,https://games.crazygames.com/en_US/paper-princess---doll-dress-up/index.html?v=1.317,"Paper Princess - Doll Dress Up is a game where you design stunning looks for your royal character. Mix and match outfits, accessories, and crowns to create magical styles. Step into a fairy tale world filled with enchanting adventures and fun interactive moments that bring your princess dreams to life.",N/A,"✨ Various fabulous outfits and items to blow your mind
✨ Prepare the princess for various occasions
✨ Stunning scenes and engage in interactive activities
✨ Choose from elegant gowns to sparkling accessories
✨ Customize your princess's appearance
✨ Play with friends on the same device",N/A,N/A,https://videos.crazygames.com/paper-princess---doll-dress-up/1/paper-princess---doll-dress-up-landscape-611x343_30fps.mp4,https://imgs.crazygames.com/paper-princess---doll-dress-up_16x9/20250113040353/paper-princess---doll-dress-up_16x9-cover?auto=format%2Ccompress&q=90&cs=strip&w=273&fit=crop
TimeWarriors,https://www.crazygames.com/game/timewarriors,9.0,"10,954",HG DEVS,December 2024,N/A,HTML5,N/A,Games » Action » Defense » Tower Defense,N/A,https://games.crazygames.com/en_US/timewarriors/index.html?v=1.317,"Time Warriors is a strategy game where you lead your army through history, from the Stone Age to futuristic battles. Upgrade your troops, build powerful bases, and use unique units and tactics to defeat your enemies. Master every era, outsmart your opponents, and rise to become the ultimate commander in this epic war game.",N/A,"1-2 pieces of food: No troops can be sent.
3 pieces of food: Deploy one soldier.
6 pieces of food: Deploy two soldiers, and so on.","Q: How can I get more food in TimeWarriors?
A: You can buy food through points earned in TimeWarriors, but the easiest way to get a quick supply is by watching an ad.

Q: How can I get past level 1 in TimeWarriors?
A: TimeWarriors is a strategic one-click game. To get past round 1 and all rounds, your objective must focus on destroying your enemy's base and not just individual soldiers. Deploy as many troops as possible straight to your enemy base before they even get a chance to approach yours.",https://www.youtube-nocookie.com/embed/hqdefault.webp,https://videos.crazygames.com/timewarriors/1/timewarriors-landscape-611x343_30fps.mp4,https://imgs.crazygames.com/timewarriors_16x9/20241216070934/timewarriors_16x9-cover?auto=format%2Ccompress&q=90&cs=strip&w=273&fit=crop
Paper Doll Diary: Dress Up DIY,https://www.crazygames.com/game/paper-doll-diary-dress-up-diy,8.9,"11,439",Dzung Vu,January 2025,December 2024,HTML5 (Unity WebGL),"Browser (desktop, mobile, tablet), App Store(Android)",Games » Beauty » Dress Up,N/A,https://games.crazygames.com/en_US/paper-doll-diary-dress-up-diy/index.html?v=1.317,"Paper Doll Diary: Doll DressUp is a delightful fusion of classic paper doll charm and modern fashion fun. Unleash your creativity as you design stunning outfits and style your enchanting paper doll. With endless possibilities, this game invites you to become the ultimate fashion stylist in a world filled with imagination and charm.",N/A,N/A,N/A,N/A,https://videos.crazygames.com/paper-doll-diary-dress-up-diy/2/paper-doll-diary-dress-up-diy-landscape-611x343_30fps.mp4,https://imgs.crazygames.com/paper-doll-diary-dress-up-diy_16x9/20241223072829/paper-doll-diary-dress-up-diy_16x9-cover?auto=format%2Ccompress&q=90&cs=strip&w=273&fit=crop
Basket Battle,https://www.crazygames.com/game/basket-battle-zmg,8.6,"28,875",N/A,January 2025,N/A,HTML5 (Unity WebGL),"Browser (desktop, mobile, tablet), App Store(iOS, Android)",Games » Sports » Basketball,N/A,https://games.crazygames.com/en_US/basket-battle-zmg/index.html?v=1.317,Basket Battle is a dynamic sports basketball game where you aim to outscore your opponent by skillfully throwing the ball into the basket. Challenge your reflexes as you intercept your rival's shots and maintain control over the game—master timing and precision to dominate the court and secure victory in intense matches.,N/A,N/A,"Q: Can you play tournaments in Basket Battle?
A: Yes, there is a tournament mode available in Basket Battle.

Q: Can I play Basket Battle on my phone?
A: You can play Basket Battle on your phone or desktop. It is available online and is created for mobile-friendly gameplay.",https://www.youtube-nocookie.com/embed/hqdefault.webp,https://videos.crazygames.com/basket-battle-zmg/1/basket-battle-zmg-landscape-611x343_30fps.mp4,https://imgs.crazygames.com/basket-battle-zmg_16x9/20250102082146/basket-battle-zmg_16x9-cover?auto=format%2Ccompress&q=90&cs=strip&w=273&fit=crop
Dishwasher,https://www.crazygames.com/game/dishwasher,8.5,681,Beaver Games,December 2024,N/A,HTML5 (Unity WebGL),N/A,Games » Puzzle » Tetris,N/A,https://games.crazygames.com/en_US/dishwasher/index.html?v=1.317,"Dishwasher is an engaging and light-hearted game where you become the ultimate dishwasher organizer! Your task is to strategically place dishes of different sizes and shapes, such as plates, glasses, cutlery, and pans, into the dishwasher. Get some money and use it to customize your dream home and buy some clothes. Design your space with unique furniture, decorations, and upgrades to make it truly yours.",N/A,"Realistic Physics: Enjoy the tactile satisfaction of fitting dishes perfectly.
Creative Customization: Use earned coins to design and furnish your ideal home.
Relaxing Zen Mode: Organize dishes at your own pace without a timer.
Drag left-click = move dishes into the dishwasher
WASD / arrow keys / drag left-click = move around",N/A,N/A,https://videos.crazygames.com/dishwasher/1/dishwasher-landscape-611x343_30fps.mp4,https://imgs.crazygames.com/dishwasher_16x9/20241211074553/dishwasher_16x9-cover?auto=format%2Ccompress&q=90&cs=strip&w=273&fit=crop
Idle Army: Battle for the Lands,https://www.crazygames.com/game/the-army,8.8,"5,874",Eccentric Studio Games,December 2024,December 2024,HTML5,N/A,Games » Casual » Clicker » Idle,N/A,https://games.crazygames.com/en_US/the-army/index.html?v=1.317,"Idle Army: Battle for the Lands is a strategic battle game where you lead an army of fighters to claim victory and conquer territories. Upgrade your units' attack, defense, and speed to strengthen your forces. Use tactical decisions to outsmart enemies, earn rewards, and unlock new levels. Prove your skills as a commander in this thrilling adventure!",N/A,N/A,N/A,N/A,https://videos.crazygames.com/the-army/2/the-army-landscape-611x343_30fps.mp4,https://imgs.crazygames.com/the-army_16x9/20241206095028/the-army_16x9-cover?auto=format%2Ccompress&q=90&cs=strip&w=273&fit=crop
DIY Ugly Christmas Sweater,https://www.crazygames.com/game/diy-ugly-christmas-sweater,8.4,"5,483",N/A,December 2024,N/A,HTML5,N/A,Games » Beauty » Dress Up,N/A,https://games.crazygames.com/en_US/diy-ugly-christmas-sweater/index.html?v=1.317,"DIY Ugly Christmas Sweater is a festive dress-up game where creativity takes center stage. Team up with three BFFs as they prepare for a holiday party by designing their own unique, cozy, ugly Christmas sweaters. Choose from a variety of sweater colors, then unleash your imagination with decorations like reindeer, Christmas trees, snowmen, lights, and bows. Complete their holiday looks with festive hairstyles and accessories to capture the perfect seasonal vibe. This lighthearted game blends creative design with holiday cheer,. It'sa fun way to celebrate the season and showcase your unique style!, perfectfor anyone looking to immerse themselves in the magic of Christmas.",N/A,N/A,N/A,N/A,https://videos.crazygames.com/diy-ugly-christmas-sweater/1/diy-ugly-christmas-sweater-landscape-611x343_30fps.mp4,https://imgs.crazygames.com/diy-ugly-christmas-sweater_16x9/20241220031152/diy-ugly-christmas-sweater_16x9-cover?auto=format%2Ccompress&q=90&cs=strip&w=273&fit=crop
Sail Adventure,https://www.crazygames.com/game/sail-adventure,8.9,"1,713",N/A,January 2025,N/A,HTML5 (Unity WebGL),"Browser (desktop, mobile, tablet), App Store(iOS)",Games » Casual » Battleship,N/A,https://games.crazygames.com/en_US/sail-adventure/index.html?v=1.317,"Sail Adventure is a thrilling casual action game where you command a pirate ship, upgrade its capabilities, and dominate the high seas!",N/A,"Upgrade and Arm Your Ship: Use earned gold to improve your ship’s speed, durability, and firepower. Equip powerful weapons like cannons, crossbows, and turrets with unique abilities.
Boost Energy and Skills: Upgrade your Energy Generator to unleash skills more frequently, helping you clear waves of skeleton pirates effectively.
Experiment with Strategy: Freely sell and repurchase ship parts and weapons to test different builds and strategies for optimal gameplay.
High-Stakes Battles: Face relentless skeleton pirates and enemy ships in dynamic, action-packed naval combat.",N/A,N/A,https://videos.crazygames.com/sail-adventure/1/sail-adventure-landscape-611x343_30fps.mp4,https://imgs.crazygames.com/sail-adventure_16x9/20250110034325/sail-adventure_16x9-cover?auto=format%2Ccompress&q=90&cs=strip&w=273&fit=crop
LandLord - Real Estate Tycoon,https://www.crazygames.com/game/landlord---real-estate-tycoon,9.0,"3,995",ZnK Games,January 2025,N/A,HTML5 (Unity WebGL),"Browser (desktop, mobile, tablet), App Store(iOS, Android)",Games » Clicker » Management,N/A,https://games.crazygames.com/en_US/landlord---real-estate-tycoon/index.html?v=1.317,"LandLord - Real Estate Tycoon is a thrilling business simulation where you build your property empire from scratch. You’ll strategically buy, sell, and manage real estate, all while aiming to dominate the market. Sharpen your entrepreneurial skills, make smart investments, and grow your wealth as you transform into a masterful landlord and a true real estate mogul!",N/A,N/A,N/A,N/A,https://videos.crazygames.com/landlord---real-estate-tycoon/1/landlord---real-estate-tycoon-landscape-611x343_30fps.mp4,https://imgs.crazygames.com/landlord---real-estate-tycoon_16x9/20241227072608/landlord---real-estate-tycoon_16x9-cover?auto=format%2Ccompress&q=90&cs=strip&w=273&fit=crop
Fun Puzzles,https://www.crazygames.com/game/fun-puzzles,8.0,295,WOW FACTOR,January 2025,N/A,HTML5 (Unity WebGL),N/A,Games » Puzzle » Logic,N/A,https://games.crazygames.com/en_US/fun-puzzles/index.html?v=1.317,"Fun Puzzles is a lighthearted puzzle game designed to challenge your logic and creativity with unconventional solutions. With puzzles that often require humor or unexpected thinking, it’s perfect for those who enjoy quirky, out-of-the-box challenges. Test your wit, laugh at the clever twists, and enjoy solving each fun-filled level!",N/A,N/A,N/A,N/A,https://videos.crazygames.com/fun-puzzles/1/fun-puzzles-landscape-611x343_30fps.mp4,https://imgs.crazygames.com/fun-puzzles_16x9/20250117082316/fun-puzzles_16x9-cover?auto=format%2Ccompress&q=90&cs=strip&w=273&fit=crop
Cornfield,https://www.crazygames.com/game/cornfield,8.6,"2,631",AlexandrCG,December 2024,December 2024,HTML5 (Unity WebGL),N/A,Games » Adventure » Horror,N/A,https://games.crazygames.com/en_US/cornfield/index.html?v=1.317,"Cornfield is a pulse-pounding puzzle-survival game where you must outsmart a relentless corn monster. Navigate a shadowy maze filled with complex challenges, testing your strategy and nerves. Solve puzzles quickly and carefully to find the exit before the terrifying creature catches up and becomes their meal. Every step could be your last in this heart-pounding escape adventure.",N/A,"WASD or arrow keys = move
Left mouse button or E = interact/pick-up item
Right mouse button or G = drop item
C = crouch
H = get a hint
F = fire
Shift = sprint
Tab = pause",N/A,N/A,https://videos.crazygames.com/cornfield/1/cornfield-landscape-611x343_30fps.mp4,https://imgs.crazygames.com/cornfield_16x9/20241218040129/cornfield_16x9-cover?auto=format%2Ccompress&q=90&cs=strip&w=273&fit=crop
Get to Zero,https://www.crazygames.com/game/get-to-zero-card-game,8.8,733,Soft Paw,December 2024,N/A,HTML5 (Unity WebGL),N/A,Games » Casual » Puzzle » Card,N/A,https://games.crazygames.com/en_US/get-to-zero-card-game/index.html?v=1.317,"Get To Zero is a strategic card game that challenges players to master their math and tactics. Your goal? Keep your score as close to zero as possible while pushing your opponent further away from the target. With clever decision-making, reserve cards, and power-ups, you can manipulate the game to your advantage!",N/A,N/A,N/A,N/A,https://videos.crazygames.com/get-to-zero-card-game/1/get-to-zero-card-game-landscape-611x343_30fps.mp4,https://imgs.crazygames.com/get-to-zero-card-game_16x9/20241226135757/get-to-zero-card-game_16x9-cover?auto=format%2Ccompress&q=90&cs=strip&w=273&fit=crop
